id2,location_title2,location_type2,started_at2,finished_at2,updated_at2,alert_type2,location_uid2,location_oblast2,location_raion2,notes2,calculated2
74845,Липецька територіальна громада,hromada,2024-05-12 11:37:29+03:00,,2024-05-12 11:37:34.777000+03:00,air_raid,1284,обл. Харківська область,Харківський район,,
74846,Вовчанська територіальна громада,hromada,2024-05-12 11:37:57+03:00,,2024-05-12 11:37:58.879000+03:00,air_raid,1313,Київська,Чугуївський район,,

